,open,high,low,close
2010-01-04,7300,7368,7244,7302
2010-01-05,7320,7388,7288,7344
2010-01-06,7314,7466,7304,7376
2010-01-07,7420,7464,7030,7134
2010-01-08,7130,7150,6914,7036
2010-01-11,7124,7204,7120,7124
2010-01-12,7022,7100,7008,7034
2010-01-13,6800,6880,6736,6794
2010-01-14,6880,6918,6844,6888
2010-01-15,6860,6944,6786,6842
2010-01-18,6790,6862,6750,6820
2010-01-19,6850,6892,6810,6846
2010-01-20,6888,6894,6698,6702
2010-01-21,6688,6830,6662,6818
2010-01-22,6752,6826,6658,6808
2010-01-25,6790,6868,6774,6818
2010-01-26,6826,6846,6706,6706
2010-01-27,6750,6774,6690,6750
2010-01-28,6682,6720,6618,6704
2010-01-29,6700,6772,6640,6646
2010-02-01,6662,6682,6554,6556
2010-02-02,6644,6644,6534,6558
2010-02-03,6686,6724,6636,6720
2010-02-04,6662,6694,6608,6648
2010-02-05,6582,6728,6572,6684
2010-02-08,6740,6796,6732,6784
2010-02-09,6802,6814,6748,6776
2010-02-10,6800,6826,6730,6766
2010-02-11,6800,6856,6800,6820
2010-02-12,6820,6842,6750,6782
2010-02-22,6900,6972,6846,6932
2010-02-23,6938,7018,6920,7016
2010-02-24,6962,6988,6938,6956
2010-02-25,7000,7006,6858,6900
2010-02-26,6900,6924,6844,6864
2010-03-01,7000,7000,6904,6922
2010-03-02,6918,6976,6888,6888
2010-03-03,6912,6986,6912,6968
2010-03-04,6960,6970,6880,6884
2010-03-05,6900,7038,6860,7018
2010-03-08,7008,7048,6972,7030
2010-03-09,7016,7104,7010,7092
2010-03-10,7050,7086,7032,7046
2010-03-11,7086,7098,6890,6954
2010-03-12,6922,6956,6888,6904
2010-03-15,6880,6912,6794,6854
2010-03-16,6820,6858,6810,6844
2010-03-17,6868,6924,6866,6888
2010-03-18,6904,6906,6822,6850
2010-03-19,6858,6896,6840,6880
2010-03-22,6866,6940,6862,6902
2010-03-23,6950,6950,6892,6896
2010-03-24,6900,6922,6852,6888
2010-03-25,6870,6918,6868,6892
2010-03-26,6876,6884,6838,6860
2010-03-29,6862,6918,6854,6886
2010-03-30,6910,6940,6782,6894
2010-03-31,6878,6916,6844,6850
2010-04-01,6848,6866,6796,6848
2010-04-02,6880,6888,6852,6880
2010-04-06,6882,6892,6854,6868
2010-04-07,6888,6994,6886,6968
2010-04-08,6960,7032,6952,6970
2010-04-09,6976,7024,6966,6998
2010-04-12,7030,7056,7000,7024
2010-04-13,7000,7002,6940,6990
2010-04-14,7002,7024,6982,6984
2010-04-15,7010,7010,6966,6980
2010-04-16,6990,7008,6974,6988
2010-04-19,6948,6964,6874,6888
2010-04-20,6914,6930,6874,6902
2010-04-21,6900,6934,6888,6924
2010-04-22,6920,6926,6892,6906
2010-04-23,6920,6976,6910,6964
2010-04-26,6982,7016,6978,7000
2010-04-27,6992,7046,6970,7026
2010-04-28,6970,6976,6920,6954
2010-04-29,6920,6960,6912,6920
2010-04-30,6932,6950,6900,6948
2010-05-04,6928,6940,6894,6908
2010-05-05,6864,6928,6846,6922
2010-05-06,6936,6942,6854,6860
2010-05-07,6818,6818,6700,6702
2010-05-10,6768,6804,6748,6798
2010-05-11,6786,6798,6734,6742
2010-05-12,6758,6808,6750,6776
2010-05-13,6786,6790,6676,6732
2010-05-14,6698,6726,6648,6654
2010-05-17,6598,6628,6466,6502
2010-05-18,6518,6600,6486,6588
2010-05-19,6536,6612,6518,6568
2010-05-20,6608,6678,6608,6628
2010-05-21,6610,6688,6590,6684
2010-05-24,6668,6696,6658,6684
2010-05-25,6668,6668,6596,6602
2010-05-26,6626,6648,6568,6644
2010-05-27,6658,6666,6626,6664
2010-05-28,6694,6696,6642,6664
2010-05-31,6638,6638,6576,6582
2010-06-01,6580,6632,6548,6574
2010-06-02,6574,6628,6558,6628
2010-06-03,6632,6638,6578,6608
2010-06-04,6610,6652,6600,6628
2010-06-07,6504,6504,6410,6440
2010-06-08,6450,6460,6428,6446
2010-06-09,6446,6452,6318,6406
2010-06-10,6396,6418,6360,6360
2010-06-11,6378,6402,6348,6360
2010-06-17,6448,6454,6400,6408
2010-06-18,6410,6446,6410,6430
2010-06-21,6448,6532,6448,6516
2010-06-22,6490,6504,6474,6490
2010-06-23,6458,6496,6434,6494
2010-06-24,6494,6520,6476,6500
2010-06-25,6472,6510,6472,6492
2010-06-28,6494,6538,6470,6472
2010-06-29,6458,6470,6366,6386
2010-06-30,6328,6350,6306,6334
2010-07-01,6326,6356,6268,6282
2010-07-02,6270,6310,6230,6290
2010-07-05,6282,6290,6250,6254
2010-07-06,6186,6230,6150,6218
2010-07-07,6224,6230,6192,6218
2010-07-08,6310,6310,6270,6282
2010-07-09,6298,6350,6282,6342
2010-07-12,6376,6376,6310,6322
2010-07-13,6344,6396,6314,6346
2010-07-14,6378,6408,6374,6404
2010-07-15,6410,6424,6384,6396
2010-07-16,6458,6542,6452,6536
2010-07-19,6518,6536,6502,6534
2010-07-20,6516,6536,6476,6524
2010-07-21,6544,6552,6504,6514
2010-07-22,6498,6610,6498,6592
2010-07-23,6634,6640,6606,6626
2010-07-26,6598,6694,6598,6672
2010-07-27,6652,6658,6554,6564
2010-07-28,6580,6626,6568,6622
2010-07-29,6658,6746,6638,6718
2010-07-30,6742,6786,6726,6738
2010-08-02,6798,6944,6798,6908
2010-08-03,6928,6946,6862,6898
2010-08-04,6976,6976,6914,6938
2010-08-05,6998,7022,6852,6856
2010-08-06,6888,7066,6870,7056
2010-08-09,7056,7218,7024,7182
2010-08-10,7140,7168,7060,7082
2010-08-11,7092,7134,7042,7054
2010-08-12,7044,7128,7012,7068
2010-08-13,7088,7246,7084,7232
2010-08-16,7278,7376,7264,7288
2010-08-17,7248,7266,7206,7264
2010-08-18,7296,7320,7142,7174
2010-08-19,7176,7198,7100,7186
2010-08-20,7058,7080,6940,6956
2010-08-23,6986,7024,6946,6976
2010-08-24,6948,7018,6928,6948
2010-08-25,6972,6994,6872,6896
2010-08-26,6914,6962,6900,6956
