,open,high,low,close
2014-02-28,10680,10720,10604,10657
2014-03-03,10696,10790,10602,10632
2014-03-04,10644,10664,10590,10640
2014-03-05,10693,10694,10596,10633
2014-03-06,10623,10623,10483,10563
2014-03-07,10597,10597,10526,10572
2014-03-10,10422,10547,10397,10474
2014-03-11,10493,10747,10447,10577
2014-03-12,10487,10590,10458,10588
2014-03-13,10597,10633,10562,10606
2014-03-14,10597,10607,10517,10568
2014-03-17,10562,10687,10537,10568
2014-03-18,10522,10687,10522,10681
2014-03-19,10697,10745,10611,10611
2014-03-20,10617,10657,10592,10637
2014-03-21,10603,10692,10599,10682
2014-03-24,10677,10721,10638,10707
2014-03-25,10712,10833,10687,10803
2014-03-26,10786,10957,10782,10924
2014-03-27,10927,10927,10871,10889
2014-03-28,10897,11022,10889,11017
2014-03-31,11015,11047,10960,10979
2014-04-01,10987,11121,10952,11102
2014-04-02,11078,11104,11047,11069
2014-04-03,11077,11102,11003,11082
2014-04-04,11082,11229,11082,11215
2014-04-08,11207,11235,11122,11153
2014-04-09,11187,11187,11057,11130
2014-04-10,11147,11202,11079,11079
2014-04-11,11067,11117,11016,11098
2014-04-14,11147,11171,11077,11155
2014-04-15,11163,11223,11125,11190
2014-04-16,11180,11203,11143,11169
2014-04-17,11167,11297,11157,11272
2014-04-18,11283,11283,11189,11271
2014-04-21,11272,11335,11231,11284
2014-04-22,11287,11437,11258,11372
2014-04-23,11382,11383,11264,11322
2014-04-24,11321,11346,11212,11290
2014-04-25,11297,11316,11082,11100
2014-04-28,11107,11125,11057,11103
2014-04-29,11097,11167,11053,11155
2014-04-30,11159,11172,11110,11144
2014-05-05,11147,11245,11072,11244
2014-05-06,11229,11287,11205,11247
2014-05-07,11247,11362,11220,11329
2014-05-08,11352,11352,11240,11269
2014-05-09,11281,11281,11147,11168
2014-05-12,11187,11227,11111,11148
2014-05-13,11170,11183,11122,11177
2014-05-14,11207,11212,11115,11149
2014-05-15,11137,11137,11064,11073
2014-05-16,11062,11089,10997,11088
2014-05-19,11085,11147,11037,11094
2014-05-20,11077,11102,11020,11092
2014-05-21,11078,11187,11052,11162
2014-05-22,11162,11323,11152,11319
2014-05-23,11311,11447,11280,11436
2014-05-26,11435,11478,11364,11453
2014-05-27,11438,11446,11222,11227
2014-05-28,11224,11271,11162,11269
2014-05-29,11237,11375,11237,11331
2014-05-30,11330,11391,11268,11382
2014-06-03,11397,11475,11367,11470
2014-06-04,11467,11543,11442,11462
2014-06-05,11457,11559,11431,11529
2014-06-06,11527,11565,11481,11516
2014-06-09,11492,11543,11435,11486
2014-06-10,11507,11769,11507,11761
2014-06-11,11747,11832,11688,11726
2014-06-12,11707,11784,11652,11748
2014-06-13,11797,11929,11764,11789
2014-06-16,11801,11846,11708,11819
2014-06-17,11797,11836,11614,11652
2014-06-18,11662,11692,11553,11602
2014-06-19,11627,11652,11538,11556
2014-06-20,11572,11640,11521,11620
2014-06-23,11599,11633,11297,11297
2014-06-24,11297,11345,11266,11314
2014-06-25,11297,11342,11232,11304
2014-06-26,11304,11364,11252,11301
2014-06-27,11284,11395,11279,11352
2014-06-30,11347,11438,11322,11403
2014-07-01,11436,11635,11387,11617
2014-07-02,11617,11656,11357,11576
2014-07-03,11594,11663,11539,11599
2014-07-04,11615,11720,11590,11698
2014-07-07,11697,11750,11602,11713
2014-07-08,11707,11722,11545,11667
2014-07-09,11666,11690,11422,11551
2014-07-10,11517,11592,11488,11558
2014-07-11,11615,11615,11523,11596
2014-07-14,11534,11611,11517,11589
2014-07-15,11597,11681,11565,11585
2014-07-16,11547,11637,11475,11633
2014-07-17,11639,11662,11505,11505
2014-07-18,11517,11524,11376,11470
2014-07-21,11437,11505,11413,11478
2014-07-22,11498,11524,11433,11440
2014-07-23,11422,11548,11417,11547
2014-07-24,11560,11585,11521,11525
2014-07-25,11527,11645,11505,11645
2014-07-28,11622,11699,11612,11683
2014-07-29,11682,11771,11667,11742
2014-07-30,11737,11764,11708,11733
2014-07-31,11724,11731,11667,11712
2014-08-01,11694,11777,11646,11651
2014-08-04,11631,11693,11600,11659
2014-08-05,11696,11696,11512,11560
2014-08-06,11531,11628,11531,11611
2014-08-07,11608,11614,11538,11582
2014-08-08,11582,11606,11471,11534
2014-08-11,11544,11634,11534,11593
2014-08-12,11586,11590,11512,11518
2014-08-13,11505,11510,11427,11488
2014-08-14,11486,11544,11436,11504
2014-08-15,11484,11586,11452,11583
2014-08-18,11592,11622,11553,11618
2014-08-19,11626,11646,11586,11625
2014-08-20,11616,11616,11517,11541
2014-08-21,11572,11694,11566,11691
2014-08-22,11696,11710,11658,11682
2014-08-25,11686,11694,11619,11692
2014-08-26,11689,11730,11633,11682
2014-08-27,11676,11702,11653,11668
2014-08-28,11653,11676,11602,11623
2014-08-29,11626,11645,11563,11581
2014-09-01,11596,11620,11528,11557
2014-09-02,11560,11667,11550,11666
2014-09-03,11645,11668,11614,11668
2014-09-04,11692,11809,11674,11729
2014-09-05,11735,11737,11597,11616
2014-09-09,11606,11620,11521,11536
2014-09-10,11532,11577,11467,11473
2014-09-11,11447,11474,11404,11464
2014-09-12,11478,11493,11334,11401
2014-09-15,11386,11450,11367,11431
2014-09-16,11441,11515,11410,11462
2014-09-17,11496,11525,11377,11381
2014-09-18,11356,11379,11292,11306
2014-09-19,11286,11326,11234,11269
2014-09-22,11256,11256,11052,11099
2014-09-23,11091,11141,10943,11045
2014-09-24,11044,11154,11012,11152
2014-09-25,11167,11246,11103,11208
2014-09-26,11188,11266,11127,11246
2014-09-29,11256,11363,11156,11363
2014-09-30,11376,11406,11307,11394
2014-10-08,11246,11246,11036,11064
2014-10-09,11066,11110,11016,11071
2014-10-10,10996,10996,10676,10706
2014-10-13,10706,10886,10696,10808
2014-10-14,10826,10934,10817,10907
2014-10-15,10744,11013,10651,10923
2014-10-16,10869,10882,10736,10808
2014-10-17,10876,10916,10510,10528
2014-10-20,10536,10605,10451,10459
2014-10-21,10447,10501,10386,10459
2014-10-22,10526,10545,10472,10502
2014-10-23,10413,10643,10404,10641
2014-10-24,10696,10888,10681,10854
2014-10-27,10845,10874,10780,10813
2014-10-28,10865,10996,10817,10968
2014-10-29,10976,11055,10955,11053
2014-10-30,11056,11089,11006,11047
2014-10-31,11026,11154,10926,11132
2014-11-03,11120,11145,10992,11025
2014-11-04,10946,10996,10850,10883
2014-11-05,10856,10856,10680,10698
2014-11-06,10786,10941,10768,10933
2014-11-07,10923,11044,10887,11020
2014-11-10,11041,11115,10993,11101
2014-11-11,11064,11079,10838,10875
2014-11-12,10881,10951,10846,10895
2014-11-13,10864,10941,10802,10931
2014-11-14,10826,10849,10713,10788
2014-11-17,10876,10894,10752,10766
