,open,high,low,close
2010-01-04,4523,4610,4523,4579
2010-01-05,4592,4606,4572,4589
2010-01-06,4587,4635,4581,4622
2010-01-07,4641,4650,4389,4489
2010-01-08,4505,4510,4412,4462
2010-01-11,4495,4518,4475,4516
2010-01-12,4505,4528,4480,4510
2010-01-13,4420,4460,4354,4418
2010-01-14,4450,4464,4430,4433
2010-01-15,4419,4436,4355,4368
2010-01-18,4339,4399,4310,4395
2010-01-19,4405,4418,4361,4382
2010-01-20,4392,4394,4341,4364
2010-01-21,4337,4366,4326,4352
2010-01-22,4319,4335,4257,4288
2010-01-25,4280,4295,4265,4278
2010-01-26,4286,4290,4258,4265
2010-01-27,4275,4327,4265,4316
2010-01-28,4260,4319,4255,4293
2010-01-29,4281,4315,4276,4300
2010-02-01,4317,4334,4276,4295
2010-02-02,4316,4323,4126,4159
2010-02-03,4175,4188,4136,4180
2010-02-04,4150,4158,4093,4115
2010-02-05,4090,4110,4066,4109
2010-02-08,4120,4139,4103,4129
2010-02-09,4123,4166,4115,4157
2010-02-10,4172,4219,4156,4198
2010-02-11,4210,4236,4190,4229
2010-02-12,4246,4299,4233,4293
2010-02-22,4330,4376,4229,4243
2010-02-23,4240,4297,4220,4283
2010-02-24,4261,4281,4233,4253
2010-02-25,4258,4263,4191,4209
2010-02-26,4208,4219,4175,4214
2010-03-01,4233,4256,4190,4209
2010-03-02,4202,4208,4151,4155
2010-03-03,4173,4173,4133,4143
2010-03-04,4150,4158,4135,4141
2010-03-05,4140,4172,4135,4168
2010-03-08,4171,4205,4165,4189
2010-03-09,4178,4211,4159,4199
2010-03-10,4205,4227,4182,4212
2010-03-11,4220,4236,4166,4215
2010-03-12,4232,4241,4210,4221
2010-03-15,4224,4238,4197,4223
2010-03-16,4213,4357,4209,4343
2010-03-17,4362,4391,4304,4326
2010-03-18,4319,4335,4293,4296
2010-03-19,4299,4330,4284,4320
2010-03-22,4314,4375,4314,4331
2010-03-23,4340,4351,4301,4305
2010-03-24,4313,4348,4294,4341
2010-03-25,4353,4377,4334,4359
2010-03-26,4364,4411,4350,4356
2010-03-29,4375,4388,4345,4373
2010-03-30,4378,4392,4318,4324
2010-03-31,4329,4338,4307,4318
2010-04-01,4328,4329,4288,4316
2010-04-02,4326,4351,4321,4349
2010-04-06,4362,4395,4357,4387
2010-04-07,4402,4417,4392,4409
2010-04-08,4406,4409,4364,4373
2010-04-09,4379,4413,4368,4411
2010-04-12,4428,4448,4416,4435
2010-04-13,4428,4461,4426,4444
2010-04-14,4453,4459,4415,4417
2010-04-15,4415,4426,4375,4382
2010-04-16,4380,4406,4367,4401
2010-04-19,4365,4380,4296,4315
2010-04-20,4333,4340,4307,4335
2010-04-21,4328,4335,4296,4322
2010-04-22,4313,4330,4291,4297
2010-04-23,4295,4309,4286,4303
2010-04-26,4321,4326,4287,4297
2010-04-27,4284,4289,4230,4241
2010-04-28,4184,4212,4148,4151
2010-04-29,4157,4182,4140,4146
2010-04-30,4159,4201,4153,4198
2010-05-04,4179,4239,4172,4228
2010-05-05,4183,4225,4176,4216
2010-05-06,4219,4242,4194,4200
2010-05-07,4173,4181,4100,4108
2010-05-10,4135,4143,4052,4097
2010-05-11,4093,4111,4038,4042
2010-05-12,4034,4037,3958,3969
2010-05-13,3975,3990,3935,3963
2010-05-14,3952,3984,3926,3930
2010-05-17,3883,3892,3741,3749
2010-05-18,3763,3807,3701,3772
2010-05-19,3715,3813,3711,3786
2010-05-20,3811,3860,3792,3814
2010-05-21,3791,3807,3725,3791
2010-05-24,3841,3884,3821,3881
2010-05-25,3856,3876,3823,3827
2010-05-26,3863,3863,3815,3835
2010-05-27,3823,3847,3788,3833
2010-05-28,3856,3876,3813,3819
2010-05-31,3800,3820,3778,3778
2010-06-01,3764,3776,3736,3741
2010-06-02,3736,3767,3711,3748
2010-06-03,3766,3778,3745,3763
2010-06-04,3733,3746,3725,3743
2010-06-07,3622,3647,3570,3584
2010-06-08,3598,3626,3593,3624
2010-06-09,3631,3673,3606,3666
2010-06-10,3652,3663,3631,3645
2010-06-11,3661,3688,3655,3674
2010-06-17,3693,3710,3674,3675
2010-06-18,3674,3686,3649,3651
2010-06-21,3669,3737,3651,3726
2010-06-22,3693,3720,3691,3701
2010-06-23,3662,3680,3622,3643
2010-06-24,3650,3672,3644,3664
2010-06-25,3663,3664,3637,3647
2010-06-28,3665,3671,3591,3602
2010-06-29,3585,3599,3543,3557
2010-06-30,3538,3552,3521,3548
