,open,high,low,close
2012-12-31,2399,2399,2336,2340
2013-01-04,2322,2380,2316,2370
2013-01-07,2365,2457,2360,2455
2013-01-08,2470,2500,2438,2480
2013-01-09,2488,2514,2472,2478
2013-01-10,2473,2490,2459,2462
2013-01-11,2465,2525,2463,2509
2013-01-14,2527,2548,2505,2541
2013-01-15,2549,2618,2542,2562
2013-01-16,2565,2595,2542,2586
2013-01-17,2602,2612,2565,2571
2013-01-18,2580,2612,2561,2573
2013-01-21,2575,2591,2562,2573
2013-01-22,2574,2595,2574,2591
2013-01-23,2591,2604,2573,2576
2013-01-24,2569,2569,2486,2493
2013-01-25,2500,2518,2493,2504
2013-01-28,2513,2524,2484,2521
2013-01-29,2521,2528,2506,2515
2013-01-30,2518,2538,2516,2531
2013-01-31,2542,2550,2533,2537
2013-02-01,2530,2532,2477,2521
2013-02-04,2521,2579,2520,2561
2013-02-05,2558,2614,2549,2586
2013-02-06,2600,2609,2576,2579
2013-02-07,2576,2586,2563,2567
2013-02-08,2572,2602,2572,2586
2013-02-18,2540,2574,2532,2569
2013-02-19,2604,2653,2584,2637
2013-02-20,2652,2658,2639,2640
2013-02-21,2631,2680,2613,2678
2013-02-22,2676,2735,2661,2668
2013-02-25,2646,2656,2592,2599
2013-02-26,2592,2634,2578,2594
2013-02-27,2614,2634,2590,2610
2013-02-28,2626,2634,2581,2582
2013-03-01,2591,2611,2571,2600
2013-03-04,2593,2609,2576,2592
2013-03-05,2609,2626,2604,2616
2013-03-06,2615,2622,2576,2593
2013-03-07,2593,2602,2581,2591
2013-03-08,2602,2606,2587,2589
2013-03-11,2591,2591,2534,2535
2013-03-12,2541,2541,2502,2505
2013-03-13,2508,2531,2484,2527
2013-03-14,2511,2546,2497,2538
2013-03-15,2549,2560,2529,2545
2013-03-18,2524,2541,2466,2522
2013-03-19,2530,2542,2515,2517
2013-03-20,2512,2526,2506,2522
2013-03-21,2527,2553,2527,2545
2013-03-22,2550,2552,2514,2514
2013-03-25,2517,2526,2500,2505
2013-03-26,2503,2520,2500,2517
2013-03-27,2523,2531,2509,2520
2013-03-28,2524,2527,2482,2484
2013-03-29,2446,2474,2436,2461
2013-04-01,2459,2463,2417,2424
2013-04-02,2432,2446,2419,2436
2013-04-03,2426,2433,2400,2430
2013-04-08,2416,2459,2407,2449
2013-04-09,2452,2464,2441,2446
2013-04-10,2450,2471,2446,2467
2013-04-11,2464,2471,2451,2466
2013-04-12,2474,2506,2471,2505
2013-04-15,2499,2526,2488,2513
2013-04-16,2489,2531,2468,2526
2013-04-17,2533,2539,2498,2507
2013-04-18,2499,2519,2492,2511
2013-04-19,2516,2522,2493,2499
2013-04-22,2495,2520,2481,2505
2013-04-23,2502,2513,2478,2489
2013-04-24,2484,2487,2430,2440
2013-04-25,2439,2444,2413,2436
2013-04-26,2448,2459,2421,2438
2013-05-02,2426,2451,2417,2443
2013-05-03,2441,2447,2406,2424
2013-05-06,2434,2439,2417,2438
2013-05-07,2428,2452,2428,2439
2013-05-08,2441,2458,2434,2452
2013-05-09,2451,2461,2441,2446
2013-05-10,2453,2461,2444,2451
2013-05-13,2446,2458,2426,2435
2013-05-14,2446,2452,2433,2447
2013-05-15,2447,2483,2447,2469
2013-05-16,2472,2479,2452,2468
2013-05-17,2474,2486,2472,2483
2013-05-20,2494,2502,2484,2487
2013-05-21,2494,2504,2481,2490
2013-05-22,2492,2502,2487,2495
2013-05-23,2504,2508,2482,2485
2013-05-24,2484,2484,2448,2474
2013-05-27,2461,2491,2461,2491
2013-05-28,2497,2498,2485,2490
2013-05-29,2499,2535,2498,2512
2013-05-30,2516,2518,2491,2512
2013-05-31,2515,2535,2505,2526
2013-06-03,2533,2583,2532,2563
2013-06-04,2565,2572,2547,2555
2013-06-05,2558,2628,2556,2606
2013-06-06,2594,2598,2571,2573
2013-06-07,2579,2589,2541,2556
2013-06-13,2564,2573,2521,2523
2013-06-14,2518,2559,2517,2555
2013-06-17,2543,2587,2527,2575
2013-06-18,2581,2600,2566,2568
2013-06-19,2566,2576,2548,2557
2013-06-20,2557,2581,2549,2552
2013-06-21,2530,2537,2500,2502
2013-06-24,2493,2511,2471,2476
2013-06-25,2495,2520,2488,2516
2013-06-26,2517,2532,2504,2518
2013-06-27,2525,2535,2515,2532
2013-06-28,2526,2539,2507,2509
2013-07-01,2485,2494,2475,2484
2013-07-02,2475,2530,2473,2524
2013-07-03,2524,2547,2516,2533
2013-07-04,2534,2540,2515,2520
2013-07-05,2520,2529,2510,2526
2013-07-08,2515,2519,2484,2494
2013-07-09,2510,2551,2510,2548
2013-07-10,2557,2565,2541,2551
2013-07-11,2559,2581,2547,2565
2013-07-12,2569,2593,2563,2565
2013-07-15,2537,2560,2537,2557
2013-07-16,2570,2583,2561,2583
2013-07-17,2596,2602,2575,2579
2013-07-18,2574,2593,2566,2591
2013-07-19,2581,2621,2576,2576
2013-07-22,2587,2590,2556,2565
2013-07-23,2578,2618,2572,2608
2013-07-24,2585,2611,2582,2603
2013-07-25,2588,2596,2576,2582
2013-07-26,2553,2557,2496,2508
2013-07-29,2508,2516,2495,2511
2013-07-30,2525,2528,2508,2512
2013-07-31,2497,2515,2485,2511
2013-08-01,2509,2525,2507,2517
2013-08-02,2507,2534,2506,2533
2013-08-05,2525,2568,2525,2544
2013-08-06,2542,2551,2536,2539
2013-08-07,2528,2531,2495,2498
2013-08-08,2503,2535,2498,2524
2013-08-09,2540,2547,2525,2528
2013-08-12,2531,2552,2530,2548
2013-08-13,2573,2612,2572,2601
2013-08-14,2596,2634,2593,2599
2013-08-15,2615,2682,2615,2653
2013-08-16,2691,2711,2655,2662
2013-08-19,2693,2705,2671,2683
2013-08-20,2725,2725,2661,2684
2013-08-21,2685,2704,2668,2697
2013-08-22,2690,2722,2687,2719
2013-08-23,2719,2722,2702,2718
2013-08-26,2798,2809,2791,2809
2013-08-27,2835,2845,2812,2841
2013-08-28,2828,2836,2778,2787
2013-08-29,2795,2799,2721,2753
2013-08-30,2744,2751,2708,2728
2013-09-02,2728,2779,2728,2777
2013-09-03,2795,2795,2722,2768
2013-09-04,2748,2758,2725,2735
2013-09-05,2717,2739,2698,2705
2013-09-06,2725,2740,2710,2739
2013-09-09,2737,2752,2701,2703
2013-09-10,2680,2688,2662,2670
2013-09-11,2685,2700,2666,2699
2013-09-12,2696,2713,2687,2696
2013-09-13,2740,2745,2705,2713
2013-09-16,2687,2692,2652,2656
2013-09-17,2645,2673,2641,2672
2013-09-18,2665,2688,2658,2679
2013-09-23,2652,2704,2647,2679
2013-09-24,2680,2721,2671,2716
2013-09-25,2716,2740,2709,2722
2013-09-26,2725,2737,2713,2732
2013-09-27,2732,2789,2720,2783
2013-09-30,2776,2813,2745,2778
2013-10-08,2781,2841,2781,2831
2013-10-09,2825,2840,2818,2838
2013-10-10,2836,2851,2793,2798
2013-10-11,2793,2796,2756,2765
2013-10-14,2751,2784,2747,2765
2013-10-15,2769,2775,2694,2709
2013-10-16,2705,2720,2689,2707
2013-10-17,2722,2729,2693,2706
2013-10-18,2716,2726,2699,2700
2013-10-21,2695,2724,2677,2721
2013-10-22,2724,2725,2701,2703
2013-10-23,2706,2726,2694,2719
2013-10-24,2724,2727,2691,2701
2013-10-25,2702,2705,2653,2654
2013-10-28,2655,2666,2644,2656
2013-10-29,2645,2681,2638,2681
2013-10-30,2681,2688,2660,2666
2013-10-31,2666,2679,2653,2669
2013-11-01,2660,2680,2659,2676
2013-11-04,2667,2731,2665,2730
2013-11-05,2733,2746,2722,2732
2013-11-06,2725,2748,2721,2747
2013-11-07,2743,2743,2695,2697
2013-11-08,2702,2711,2670,2673
2013-11-11,2690,2707,2678,2684
2013-11-12,2690,2708,2684,2706
2013-11-13,2711,2718,2703,2715
2013-11-14,2711,2715,2683,2687
2013-11-15,2689,2693,2673,2682
2013-11-18,2663,2666,2646,2655
2013-11-19,2659,2675,2656,2662
2013-11-20,2665,2672,2646,2666
2013-11-21,2667,2681,2658,2670
2013-11-22,2677,2691,2669,2687
2013-11-25,2703,2712,2688,2688
2013-11-26,2701,2701,2677,2680
2013-11-27,2683,2704,2677,2700
2013-11-28,2694,2714,2692,2709
2013-11-29,2709,2726,2709,2726
2013-12-02,2730,2739,2720,2737
2013-12-03,2721,2732,2718,2719
2013-12-04,2721,2759,2720,2758
2013-12-05,2760,2776,2757,2766
2013-12-06,2767,2779,2751,2779
2013-12-09,2776,2806,2772,2797
2013-12-10,2807,2809,2793,2796
2013-12-11,2794,2798,2782,2792
2013-12-12,2795,2805,2772,2775
2013-12-13,2767,2769,2742,2760
2013-12-16,2766,2800,2764,2794
2013-12-17,2811,2825,2803,2817
2013-12-18,2821,2827,2783,2797
2013-12-19,2787,2803,2779,2798
2013-12-20,2801,2806,2785,2804
2013-12-23,2801,2807,2786,2795
2013-12-24,2786,2787,2757,2776
2013-12-25,2783,2847,2776,2844
2013-12-26,2848,2869,2834,2843
2013-12-27,2832,2910,2829,2905
2013-12-30,2909,2926,2866,2875
2013-12-31,2877,2915,2872,2905
2014-01-02,2897,2923,2887,2922
2014-01-03,2910,2923,2883,2908
2014-01-06,2909,2920,2893,2901
2014-01-07,2911,2911,2850,2863
2014-01-08,2868,2873,2844,2867
2014-01-09,2859,2891,2852,2859
2014-01-10,2860,2876,2851,2873
2014-01-13,2871,2890,2858,2859
2014-01-14,2880,2910,2861,2908
2014-01-15,2913,2936,2907,2934
2014-01-16,2937,2968,2937,2962
2014-01-17,2956,2992,2947,2956
2014-01-20,2959,2972,2943,2969
2014-01-21,2970,2976,2937,2943
2014-01-22,2911,2922,2860,2875
2014-01-23,2877,2889,2866,2874
2014-01-24,2870,2884,2856,2876
2014-01-27,2885,2910,2876,2897
2014-01-28,2901,2903,2862,2875
2014-01-29,2874,2886,2860,2872
2014-01-30,2861,2896,2851,2893
2014-02-07,2931,3000,2929,2979
2014-02-10,2994,2998,2968,2978
2014-02-11,2964,2975,2958,2966
2014-02-12,2981,2985,2953,2955
2014-02-13,2943,2982,2938,2975
2014-02-14,2989,2991,2962,2965
2014-02-17,2965,2986,2942,2944
2014-02-18,2947,2959,2929,2937
2014-02-19,2956,2959,2936,2945
2014-02-20,2941,2975,2936,2961
2014-02-21,2963,2968,2932,2935
2014-02-24,2945,2959,2916,2958
2014-02-25,2964,2970,2940,2945
2014-02-26,2954,2983,2939,2945
2014-02-27,2948,2955,2933,2947
2014-02-28,2934,2951,2923,2930
2014-03-03,2946,2949,2931,2943
2014-03-04,2933,2947,2922,2944
2014-03-05,2950,2981,2941,2979
2014-03-06,2981,2990,2969,2976
2014-03-07,2982,3018,2971,3012
2014-03-10,2999,3021,2990,2995
2014-03-11,2975,3015,2971,3000
2014-03-12,2993,3007,2973,2983
2014-03-13,2981,2987,2942,2952
2014-03-14,2951,2955,2910,2911
2014-03-17,2914,2918,2877,2894
2014-03-18,2894,2914,2886,2903
2014-03-19,2917,2949,2913,2943
2014-03-20,2946,2975,2937,2961
2014-03-21,2960,2962,2932,2947
2014-03-24,2925,2966,2925,2956
2014-03-25,2961,3000,2955,2984
2014-03-26,2986,2997,2973,2985
2014-03-27,2990,3017,2985,2989
2014-03-28,2990,3009,2982,2998
2014-03-31,2994,3005,2977,2986
2014-04-01,3006,3079,3004,3049
2014-04-02,3056,3061,3029,3051
2014-04-03,3043,3068,3037,3062
2014-04-04,3067,3092,3055,3091
2014-04-08,3082,3110,3077,3102
2014-04-09,3113,3160,3112,3127
2014-04-10,3132,3139,3110,3125
2014-04-11,3117,3121,3087,3119
2014-04-14,3112,3139,3103,3124
2014-04-15,3134,3149,3127,3137
2014-04-16,3152,3161,3133,3149
2014-04-17,3155,3177,3148,3172
2014-04-18,3164,3192,3153,3191
2014-04-21,3197,3204,3171,3182
2014-04-22,3174,3206,3162,3202
2014-04-23,3190,3201,3163,3167
2014-04-24,3173,3180,3144,3174
2014-04-25,3178,3191,3165,3187
2014-04-28,3219,3285,3216,3277
2014-04-29,3271,3285,3264,3282
2014-04-30,3307,3313,3292,3306
2014-05-05,3281,3286,3258,3280
2014-05-06,3271,3291,3262,3284
2014-05-07,3279,3286,3259,3280
2014-05-08,3277,3310,3267,3307
2014-05-09,3320,3330,3279,3284
2014-05-12,3303,3311,3287,3304
2014-05-13,3283,3323,3279,3322
2014-05-14,3328,3373,3319,3371
2014-05-15,3378,3395,3367,3386
2014-05-16,3376,3404,3374,3402
2014-05-19,3404,3417,3379,3393
2014-05-20,3421,3442,3399,3437
2014-05-21,3421,3445,3417,3432
2014-05-22,3456,3509,3448,3503
2014-05-23,3496,3507,3481,3507
2014-05-26,3505,3521,3493,3518
2014-05-27,3513,3529,3423,3446
2014-05-28,3440,3458,3417,3446
2014-05-29,3449,3486,3442,3482
2014-05-30,3483,3494,3453,3485
2014-06-03,3489,3498,3469,3491
2014-06-04,3478,3487,3463,3478
2014-06-05,3470,3476,3400,3405
2014-06-06,3397,3407,3348,3376
2014-06-09,3384,3465,3379,3456
2014-06-10,3456,3471,3438,3443
2014-06-11,3451,3455,3429,3447
2014-06-12,3437,3500,3433,3497
2014-06-13,3470,3485,3442,3485
2014-06-16,3490,3516,3475,3512
2014-06-17,3507,3527,3447,3455
2014-06-18,3440,3457,3412,3448
2014-06-19,3451,3459,3430,3446
2014-06-20,3448,3459,3420,3436
2014-06-23,3453,3492,3451,3483
2014-06-24,3471,3475,3424,3434
2014-06-25,3438,3473,3414,3439
2014-06-26,3440,3451,3429,3445
2014-06-27,3466,3488,3458,3469
2014-06-30,3452,3503,3447,3502
2014-07-01,3421,3438,3375,3407
2014-07-02,3415,3445,3396,3437
2014-07-03,3434,3440,3422,3431
2014-07-04,3423,3426,3366,3369
2014-07-07,3371,3377,3315,3328
2014-07-08,3334,3347,3309,3337
2014-07-09,3320,3322,3245,3248
2014-07-10,3252,3284,3246,3263
2014-07-11,3251,3278,3230,3272
2014-07-14,3234,3284,3230,3283
2014-07-15,3286,3294,3252,3254
2014-07-16,3261,3278,3249,3268
2014-07-17,3280,3283,3217,3220
2014-07-18,3215,3246,3208,3223
2014-07-21,3206,3223,3200,3208
2014-07-22,3210,3249,3209,3237
2014-07-23,3223,3241,3169,3179
2014-07-24,3203,3205,3177,3187
2014-07-25,3190,3195,3160,3176
2014-07-28,3203,3211,3185,3205
2014-07-29,3225,3266,3223,3261
2014-07-30,3243,3263,3220,3253
2014-07-31,3238,3252,3224,3232
2014-08-01,3225,3229,3182,3196
2014-08-04,3190,3208,3178,3200
2014-08-05,3209,3230,3198,3215
2014-08-06,3211,3225,3190,3199
2014-08-07,3218,3239,3214,3224
2014-08-08,3220,3231,3197,3208
2014-08-11,3207,3231,3206,3209
2014-08-12,3199,3203,3171,3180
2014-08-13,3180,3197,3136,3155
2014-08-14,3151,3156,3081,3126
2014-08-15,3148,3148,3120,3130
2014-08-18,3125,3126,3079,3117
2014-08-19,3120,3123,3094,3100
2014-08-20,3103,3115,3091,3104
2014-08-21,3094,3120,3080,3114
2014-08-22,3123,3135,3117,3133
2014-08-25,3138,3142,3104,3114
2014-08-26,3095,3114,3092,3111
2014-08-27,3117,3141,3104,3130
2014-08-28,3129,3131,3112,3115
2014-08-29,3127,3127,3081,3097
2014-09-01,3097,3103,3084,3085
2014-09-02,3080,3101,3069,3094
2014-09-03,3098,3103,3048,3057
2014-09-04,3052,3053,2997,3004
2014-09-05,2994,3006,2985,2998
2014-09-09,2993,3013,2979,2990
2014-09-10,2971,2977,2919,2948
2014-09-11,2938,2950,2925,2941
2014-09-12,2923,2996,2923,2987
2014-09-15,2976,2992,2966,2979
2014-09-16,2984,2995,2968,2970
2014-09-17,2965,3003,2959,2998
2014-09-18,2998,3008,2983,2997
2014-09-19,2981,2981,2930,2953
2014-09-22,2930,2942,2868,2886
2014-09-23,2873,2915,2861,2907
