,open,high,low,close
2010-01-04,5803,5901,5800,5901
2010-01-05,5950,5993,5901,5925
2010-01-06,5913,5990,5888,5923
2010-01-07,5969,5985,5703,5794
2010-01-08,5795,5800,5596,5597
2010-01-11,5599,5665,5551,5613
2010-01-12,5573,5601,5527,5545
2010-01-13,5515,5608,5354,5377
2010-01-14,5450,5479,5322,5455
2010-01-15,5443,5488,5388,5391
2010-01-18,5380,5473,5367,5430
2010-01-19,5451,5483,5424,5451
2010-01-20,5519,5549,5470,5489
2010-01-21,5494,5701,5485,5680
2010-01-22,5650,5682,5533,5584
2010-01-25,5583,5625,5570,5605
2010-01-26,5657,5688,5633,5652
2010-01-27,5645,5665,5578,5584
2010-01-28,5500,5505,5383,5383
2010-01-29,5421,5441,5352,5378
2010-02-01,5420,5486,5345,5430
2010-02-02,5452,5529,5424,5497
2010-02-03,5580,5660,5549,5657
2010-02-04,5590,5618,5536,5573
2010-02-05,5495,5523,5463,5497
2010-02-08,5448,5552,5445,5539
2010-02-09,5536,5563,5514,5558
2010-02-10,5582,5756,5576,5756
2010-02-11,5761,5843,5735,5785
2010-02-12,5830,5868,5816,5840
2010-02-22,5947,5976,5650,5733
2010-02-23,5613,5771,5613,5764
2010-02-24,5745,5809,5720,5780
2010-02-25,5790,5876,5720,5741
2010-02-26,5740,5780,5731,5765
2010-03-01,5810,5820,5713,5754
2010-03-02,5721,5729,5584,5670
2010-03-03,5690,5719,5646,5682
2010-03-04,5660,5680,5611,5635
2010-03-05,5630,5705,5601,5697
2010-03-08,5736,5748,5694,5747
2010-03-09,5724,5732,5678,5713
2010-03-10,5636,5645,5538,5557
2010-03-11,5532,5534,5359,5359
2010-03-12,5315,5352,5232,5343
2010-03-15,5369,5372,5190,5252
2010-03-16,5224,5309,5184,5293
2010-03-17,5196,5291,5177,5274
2010-03-18,5291,5359,5284,5341
2010-03-19,5368,5388,5342,5352
2010-03-22,5338,5409,5338,5386
2010-03-23,5343,5354,5235,5238
2010-03-24,5152,5202,5118,5199
2010-03-25,5272,5288,5228,5258
2010-03-26,5225,5333,5213,5318
2010-03-29,5325,5357,5267,5324
2010-03-30,5335,5351,5273,5289
2010-03-31,5299,5332,5277,5284
2010-04-01,5208,5238,5189,5208
2010-04-02,5245,5309,5241,5307
2010-04-06,5294,5326,5273,5289
2010-04-07,5267,5306,5252,5303
2010-04-08,5298,5332,5276,5285
2010-04-09,5295,5352,5282,5343
2010-04-12,5377,5425,5363,5401
2010-04-13,5392,5415,5371,5400
2010-04-14,5427,5440,5409,5411
2010-04-15,5429,5434,5364,5369
2010-04-16,5369,5398,5358,5393
2010-04-19,5337,5348,5257,5276
2010-04-20,5333,5343,5320,5335
2010-04-21,5313,5323,5277,5306
2010-04-22,5297,5331,5287,5329
2010-04-23,5310,5325,5292,5298
2010-04-26,5296,5298,5191,5220
2010-04-27,5211,5214,5147,5193
2010-04-28,5127,5213,5116,5184
2010-04-29,5156,5179,5087,5133
2010-04-30,5162,5174,5121,5145
2010-05-04,5117,5124,5023,5026
2010-05-05,4987,5024,4967,5016
2010-05-06,5019,5045,4982,5001
2010-05-07,4917,4950,4893,4904
2010-05-10,4953,5007,4940,5007
2010-05-11,5007,5032,4974,4986
2010-05-12,4970,5057,4968,5039
2010-05-13,5083,5090,5041,5061
2010-05-14,5050,5065,4981,4985
2010-05-17,4955,4957,4827,4827
2010-05-18,4828,4916,4793,4902
2010-05-19,4890,4949,4882,4908
2010-05-20,4946,4977,4923,4938
2010-05-21,4914,4942,4868,4937
2010-05-24,4984,5025,4972,5024
2010-05-25,4987,5000,4938,4938
2010-05-26,4988,5013,4972,5005
2010-05-27,5005,5017,4974,5006
2010-05-28,4987,5003,4903,4925
2010-05-31,4878,4905,4853,4882
2010-06-01,4886,4900,4870,4882
2010-06-02,4893,4957,4874,4954
2010-06-03,4939,4948,4884,4926
2010-06-04,4915,4952,4912,4936
2010-06-07,4908,4919,4834,4883
2010-06-08,4898,4927,4882,4922
2010-06-09,4945,4988,4935,4982
2010-06-10,4967,4976,4937,4944
2010-06-11,4969,5020,4957,4993
2010-06-17,5019,5042,4989,4996
2010-06-18,4984,5000,4958,4963
2010-06-21,4975,5068,4969,5053
2010-06-22,5039,5061,5029,5039
2010-06-23,5032,5067,5023,5038
2010-06-24,5027,5065,5012,5056
2010-06-25,5087,5096,5062,5070
2010-06-28,5085,5107,5078,5083
2010-06-29,5050,5059,5001,5009
2010-06-30,4988,5034,4982,5032
2010-07-01,5050,5066,5037,5041
2010-07-02,5058,5091,5055,5090
2010-07-05,5107,5203,5099,5187
2010-07-06,5177,5200,5152,5172
2010-07-07,5169,5188,5151,5159
2010-07-08,5204,5227,5172,5174
2010-07-09,5176,5188,5155,5179
2010-07-12,5163,5205,5159,5160
2010-07-13,5185,5199,5153,5163
2010-07-14,5173,5187,5121,5141
2010-07-15,5134,5165,5119,5146
2010-07-16,5183,5195,5168,5190
2010-07-19,5169,5201,5167,5191
2010-07-20,5208,5258,5208,5247
2010-07-21,5234,5242,5217,5225
2010-07-22,5236,5240,5217,5230
