,open,high,low,close
2010-01-04,8234,8452,8202,8344
2010-01-05,8396,8464,8352,8372
2010-01-06,8346,8446,8346,8352
2010-01-07,8400,8486,8064,8190
2010-01-08,8200,8220,8066,8146
2010-01-11,8250,8312,8210,8262
2010-01-12,8200,8340,8184,8320
2010-01-13,8110,8216,8050,8176
2010-01-14,8250,8354,8226,8334
2010-01-15,8332,8348,8216,8232
2010-01-18,8194,8356,8152,8348
2010-01-19,8354,8400,8312,8384
2010-01-20,8410,8436,8262,8270
2010-01-21,8258,8334,8222,8318
2010-01-22,8224,8270,8094,8148
2010-01-25,8124,8182,8066,8148
2010-01-26,8182,8206,8030,8048
2010-01-27,8074,8074,7916,7950
2010-01-28,7850,7894,7712,7832
2010-01-29,7806,7882,7774,7870
2010-02-01,7844,7880,7666,7770
2010-02-02,7872,7900,7756,7790
2010-02-03,7894,7996,7866,7996
2010-02-04,7954,8018,7912,7956
2010-02-05,7758,7882,7752,7874
2010-02-08,7874,7898,7828,7850
2010-02-09,7848,7982,7798,7966
2010-02-10,7988,8048,7956,8018
2010-02-11,8072,8106,8026,8092
2010-02-12,8102,8288,8094,8256
2010-02-22,8460,8472,8244,8290
2010-02-23,8248,8340,8234,8298
2010-02-24,8256,8338,8254,8306
2010-02-25,8342,8388,8198,8198
2010-02-26,8226,8264,8184,8232
2010-03-01,8318,8324,8166,8182
2010-03-02,8160,8160,8064,8090
2010-03-03,8118,8158,8068,8082
2010-03-04,8082,8120,7986,8006
2010-03-05,8018,8064,7992,8060
2010-03-08,8114,8210,8088,8188
2010-03-09,8178,8236,8162,8206
2010-03-10,8188,8248,8154,8170
2010-03-11,8184,8212,8054,8086
2010-03-12,8112,8142,8072,8116
2010-03-15,8112,8116,7892,7910
2010-03-16,7844,7924,7780,7908
2010-03-17,7954,8044,7948,8042
2010-03-18,8082,8110,7980,8002
2010-03-19,8004,8034,7956,8006
2010-03-22,7934,8052,7924,7994
2010-03-23,8012,8040,7950,7972
2010-03-24,7974,8016,7926,8012
2010-03-25,8006,8036,7994,8014
2010-03-26,8016,8098,8004,8092
2010-03-29,8138,8192,8120,8156
2010-03-30,8198,8202,8096,8126
2010-03-31,8156,8164,8084,8084
2010-04-01,8108,8178,8098,8150
2010-04-02,8200,8224,8160,8190
2010-04-06,8238,8294,8232,8264
2010-04-07,8276,8276,8214,8234
2010-04-08,8192,8238,8156,8158
2010-04-09,8188,8204,8150,8204
2010-04-12,8220,8242,8164,8200
2010-04-13,8178,8186,8118,8160
2010-04-14,8184,8194,8144,8168
2010-04-15,8198,8240,8174,8178
2010-04-16,8186,8194,8128,8150
2010-04-19,8068,8084,7988,7994
2010-04-20,8044,8080,8010,8072
2010-04-21,8080,8098,8058,8080
2010-04-22,8054,8088,8032,8046
2010-04-23,8058,8104,8040,8070
2010-04-26,8120,8134,8072,8082
2010-04-27,8060,8068,8002,8006
2010-04-28,7882,7966,7858,7958
2010-04-29,7968,7978,7902,7914
2010-04-30,7954,7964,7882,7928
2010-05-04,7900,7932,7846,7878
2010-05-05,7728,7812,7728,7812
2010-05-06,7780,7806,7718,7734
2010-05-07,7654,7678,7558,7564
2010-05-10,7608,7630,7518,7624
2010-05-11,7608,7662,7568,7570
2010-05-12,7558,7672,7540,7620
2010-05-13,7626,7646,7548,7586
2010-05-14,7530,7538,7344,7348
2010-05-17,7238,7274,7098,7098
2010-05-18,6890,7166,6890,7160
2010-05-19,7048,7164,6990,7098
2010-05-20,7138,7176,7092,7120
2010-05-21,7030,7054,6916,7000
2010-05-24,7026,7112,6984,7080
2010-05-25,7014,7034,6836,6850
2010-05-26,6926,6954,6894,6922
2010-05-27,6934,7060,6922,7054
2010-05-28,7128,7174,7090,7114
2010-05-31,7080,7216,7070,7112
