,open,high,low,close
2010-01-04,7720,7730,7630,7635
2010-01-05,7685,7815,7655,7700
2010-01-06,7690,7750,7645,7655
2010-01-07,7695,7725,7340,7560
2010-01-08,7600,7600,7415,7470
2010-01-11,7520,7580,7500,7525
2010-01-12,7510,7510,7445,7450
2010-01-13,7350,7355,7270,7325
2010-01-14,7345,7395,7340,7390
2010-01-15,7360,7430,7355,7370
2010-01-18,7290,7410,7280,7395
2010-01-19,7400,7445,7350,7375
2010-01-20,7420,7435,7325,7340
2010-01-21,7300,7370,7290,7370
2010-01-22,7280,7415,7260,7350
2010-01-25,7330,7370,7305,7315
2010-01-26,7335,7340,7200,7205
2010-01-27,7230,7245,7130,7160
2010-01-28,7140,7145,7000,7020
2010-01-29,6980,7010,6920,6950
2010-02-01,6950,6985,6875,6890
2010-02-02,6950,6985,6855,6910
2010-02-03,6960,7095,6915,7070
2010-02-04,7000,7070,6985,7045
2010-02-05,6920,6990,6910,6980
2010-02-08,6945,7070,6940,7040
2010-02-09,7040,7090,7000,7065
2010-02-10,7085,7125,7055,7095
2010-02-11,7105,7160,7090,7135
2010-02-12,7150,7215,7130,7210
2010-02-22,7400,7400,7255,7310
2010-02-23,7260,7315,7260,7300
2010-02-24,7270,7290,7260,7280
2010-02-25,7350,7350,7200,7215
2010-02-26,7205,7230,7150,7180
2010-03-01,7210,7265,7135,7180
2010-03-02,7155,7210,7125,7130
2010-03-03,7175,7180,7110,7160
2010-03-04,7175,7200,7050,7070
2010-03-05,7080,7090,7010,7045
2010-03-08,7055,7140,7040,7125
2010-03-09,7100,7135,7090,7115
2010-03-10,7100,7180,7075,7100
2010-03-11,7110,7170,7030,7055
2010-03-12,7060,7095,7040,7080
2010-03-15,7055,7090,6955,6980
2010-03-16,6950,7005,6930,6995
2010-03-17,7040,7110,7005,7095
2010-03-18,7095,7130,7065,7090
2010-03-19,7085,7195,7080,7190
2010-03-22,7160,7185,7140,7185
2010-03-23,7200,7220,7160,7170
2010-03-24,7170,7185,7130,7145
2010-03-25,7120,7150,7110,7125
2010-03-26,7115,7180,7115,7170
2010-03-29,7190,7190,7145,7155
2010-03-30,7180,7180,7070,7075
2010-03-31,7085,7095,6995,6995
2010-04-01,7015,7045,6995,7005
2010-04-02,7045,7055,6965,6985
2010-04-06,7035,7075,7005,7040
2010-04-07,7055,7140,7040,7110
2010-04-08,7105,7150,7065,7085
2010-04-09,7105,7165,7105,7160
2010-04-12,7195,7230,7145,7170
2010-04-13,7175,7200,7120,7135
2010-04-14,7155,7200,7125,7170
2010-04-15,7195,7295,7170,7270
2010-04-16,7285,7290,7200,7210
2010-04-19,7125,7180,7110,7140
2010-04-20,7175,7195,7155,7175
2010-04-21,7195,7195,7105,7120
2010-04-22,7105,7105,7045,7060
2010-04-23,7070,7110,7060,7090
2010-04-26,7115,7135,7080,7095
2010-04-27,7065,7075,6955,6975
2010-04-28,6905,6945,6865,6935
2010-04-29,6945,6975,6915,6920
2010-04-30,6970,6975,6920,6950
2010-05-04,6950,6950,6895,6935
2010-05-05,6855,6920,6835,6920
2010-05-06,6900,6925,6880,6885
2010-05-07,6855,6980,6810,6925
2010-05-10,6980,6990,6855,6930
2010-05-11,6925,6955,6845,6845
2010-05-12,6835,6885,6740,6745
2010-05-13,6765,6770,6715,6760
2010-05-14,6715,6770,6665,6675
2010-05-17,6610,6625,6340,6380
2010-05-18,6395,6510,6305,6490
2010-05-19,6405,6560,6360,6500
2010-05-20,6545,6600,6520,6580
2010-05-21,6515,6620,6460,6560
2010-05-24,6590,6695,6570,6690
2010-05-25,6655,6710,6600,6620
2010-05-26,6665,6680,6585,6645
2010-05-27,6670,6725,6625,6725
2010-05-28,6765,6795,6705,6725
2010-05-31,6715,6715,6660,6670
2010-06-01,6665,6670,6475,6480
2010-06-02,6505,6525,6360,6445
2010-06-03,6505,6520,6460,6495
2010-06-04,6495,6500,6425,6485
2010-06-07,6325,6325,6105,6140
2010-06-08,6175,6340,6175,6320
2010-06-09,6340,6380,6270,6370
2010-06-10,6380,6420,6310,6360
2010-06-11,6405,6430,6350,6365
2010-06-17,6445,6460,6360,6385
2010-06-18,6395,6410,6310,6315
2010-06-21,6385,6600,6355,6510
2010-06-22,6465,6470,6415,6440
2010-06-23,6405,6445,6355,6395
2010-06-24,6375,6475,6375,6410
2010-06-25,6415,6425,6355,6370
2010-06-28,6415,6425,6345,6350
2010-06-29,6315,6355,6220,6270
2010-06-30,6205,6270,6205,6255
2010-07-01,6245,6265,6185,6185
2010-07-02,6155,6250,6155,6245
2010-07-05,6245,6255,6220,6235
2010-07-06,6205,6205,6135,6185
2010-07-07,6165,6180,6125,6130
2010-07-08,6210,6225,6085,6120
2010-07-09,6125,6170,6120,6150
2010-07-12,6155,6205,6135,6140
2010-07-13,6135,6150,6105,6110
2010-07-14,6165,6165,6115,6125
2010-07-15,6110,6115,6035,6050
2010-07-16,6055,6080,6015,6040
2010-07-19,6025,6070,5995,6065
2010-07-20,6075,6170,6060,6170
2010-07-21,6175,6190,6140,6160
2010-07-22,6135,6205,6135,6195
2010-07-23,6255,6350,6235,6330
2010-07-26,6335,6375,6320,6365
2010-07-27,6365,6370,6300,6315
2010-07-28,6265,6385,6265,6375
2010-07-29,6400,6400,6330,6380
2010-07-30,6395,6405,6365,6400
2010-08-02,6400,6505,6400,6500
2010-08-03,6540,6550,6430,6435
2010-08-04,6430,6445,6340,6435
2010-08-05,6450,6470,6345,6360
2010-08-06,6370,6420,6350,6420
2010-08-09,6395,6530,6395,6520
2010-08-10,6510,6540,6460,6480
2010-08-11,6460,6500,6445,6455
2010-08-12,6415,6415,6340,6375
2010-08-13,6370,6460,6360,6455
2010-08-16,6450,6565,6385,6545
2010-08-17,6550,6560,6500,6535
2010-08-18,6550,6590,6480,6495
2010-08-19,6510,6580,6490,6570
2010-08-20,6540,6560,6420,6435
2010-08-23,6450,6455,6365,6385
2010-08-24,6360,6415,6305,6375
2010-08-25,6370,6525,6365,6515
2010-08-26,6550,6550,6480,6530
2010-08-27,6530,6535,6480,6525
2010-08-30,6580,6610,6535,6540
2010-08-31,6500,6500,6410,6420
2010-09-01,6420,6505,6420,6485
2010-09-02,6520,6555,6485,6540
