,open,high,low,close
2010-01-04,8030,8092,7990,8050
2010-01-05,8088,8090,8020,8056
2010-01-06,8030,8140,8016,8090
2010-01-07,8100,8184,7774,7860
2010-01-08,7860,7878,7652,7744
2010-01-11,7844,7884,7794,7802
2010-01-12,7742,7768,7694,7726
2010-01-13,7560,7574,7450,7498
2010-01-14,7568,7616,7540,7552
2010-01-15,7520,7584,7466,7498
2010-01-18,7420,7464,7382,7456
2010-01-19,7484,7532,7448,7480
2010-01-20,7488,7508,7350,7358
2010-01-21,7350,7450,7306,7442
2010-01-22,7370,7486,7288,7452
2010-01-25,7428,7468,7410,7424
2010-01-26,7418,7438,7330,7334
2010-01-27,7364,7416,7336,7406
2010-01-28,7320,7352,7270,7326
2010-01-29,7318,7376,7270,7270
2010-02-01,7290,7304,7178,7182
2010-02-02,7250,7278,7154,7174
2010-02-03,7300,7320,7244,7316
2010-02-04,7248,7288,7218,7270
2010-02-05,7210,7320,7210,7282
2010-02-08,7332,7380,7332,7368
2010-02-09,7400,7406,7358,7386
2010-02-10,7416,7420,7334,7366
2010-02-11,7400,7474,7396,7432
2010-02-12,7436,7438,7362,7400
2010-02-22,7530,7530,7450,7500
2010-02-23,7500,7578,7490,7578
2010-02-24,7502,7534,7488,7512
2010-02-25,7570,7576,7438,7462
2010-02-26,7462,7488,7424,7438
2010-03-01,7550,7562,7480,7488
2010-03-02,7492,7528,7466,7472
2010-03-03,7512,7546,7494,7536
2010-03-04,7526,7540,7450,7458
2010-03-05,7456,7542,7424,7520
2010-03-08,7506,7560,7498,7544
2010-03-09,7532,7592,7512,7582
2010-03-10,7558,7614,7550,7586
2010-03-11,7634,7654,7492,7542
2010-03-12,7500,7536,7474,7488
2010-03-15,7450,7494,7436,7468
2010-03-16,7444,7484,7424,7482
2010-03-17,7500,7522,7482,7500
2010-03-18,7512,7516,7426,7444
2010-03-19,7452,7484,7444,7478
2010-03-22,7460,7528,7454,7500
2010-03-23,7530,7542,7488,7508
2010-03-24,7500,7524,7472,7518
2010-03-25,7500,7562,7500,7522
2010-03-26,7480,7496,7456,7484
2010-03-29,7502,7518,7480,7502
2010-03-30,7526,7632,7476,7578
2010-03-31,7580,7646,7562,7574
2010-04-01,7530,7594,7526,7574
2010-04-02,7600,7612,7580,7600
2010-04-06,7602,7638,7588,7604
2010-04-07,7630,7728,7618,7714
2010-04-08,7702,7746,7690,7692
2010-04-09,7708,7766,7700,7750
2010-04-12,7788,7794,7732,7752
2010-04-13,7712,7734,7674,7720
2010-04-14,7736,7750,7706,7706
2010-04-15,7724,7724,7692,7706
2010-04-16,7716,7736,7702,7716
2010-04-19,7688,7692,7600,7610
2010-04-20,7632,7660,7602,7630
2010-04-21,7636,7648,7614,7646
2010-04-22,7634,7650,7630,7640
