,open,high,low,close
2010-01-04,21405,21725,21250,21435
2010-01-05,21470,21700,21255,21650
2010-01-06,21580,21935,21510,21740
2010-01-07,22150,22600,21350,21725
2010-01-08,21520,21705,20900,21210
2010-01-11,21510,21780,21350,21735
2010-01-12,21600,21600,21125,21490
2010-01-13,20515,20830,20325,20450
2010-01-14,20935,20965,20520,20610
2010-01-15,20550,20845,20200,20470
2010-01-18,20290,20575,20235,20550
2010-01-19,20685,20970,20560,20950
2010-01-20,21100,21215,20740,20795
2010-01-21,20600,20780,20365,20730
2010-01-22,20240,20350,19560,19810
2010-01-25,19780,20045,19600,19905
2010-01-26,19920,20010,19210,19270
2010-01-27,19430,19525,19215,19330
2010-01-28,18590,18775,18395,18395
2010-01-29,18110,18145,17410,17470
2010-02-01,17450,17710,17000,17310
2010-02-02,17680,17710,17040,17185
2010-02-03,17390,18055,17275,18040
2010-02-04,17430,17825,17220,17560
2010-02-05,16960,17130,16790,17025
2010-02-08,16985,17380,16985,17060
2010-02-09,16980,17275,16815,17190
2010-02-10,17470,17675,17340,17565
2010-02-11,17630,18025,17580,17955
2010-02-12,18230,18295,18030,18225
2010-02-22,19360,19360,18680,18720
2010-02-23,18570,18730,18500,18655
2010-02-24,18260,18330,18200,18260
2010-02-25,18330,18630,18150,18155
2010-02-26,18115,18275,18075,18170
2010-03-01,18740,18920,18390,18515
2010-03-02,18475,18485,17790,17800
2010-03-03,18120,18120,17860,17995
2010-03-04,18155,18330,18000,18090
2010-03-05,18060,18390,17910,18330
2010-03-08,18610,19000,18520,18975
2010-03-09,18860,18915,18640,18840
2010-03-10,18840,19190,18815,19095
2010-03-11,18965,19040,18525,18610
2010-03-12,18740,18820,18530,18795
2010-03-15,18720,18755,18145,18235
2010-03-16,18040,18455,17860,18395
2010-03-17,18475,18790,18410,18735
2010-03-18,18715,18790,18440,18455
2010-03-19,18500,18775,18470,18705
2010-03-22,18295,18435,18220,18300
2010-03-23,18400,18550,18245,18255
2010-03-24,18165,18375,18020,18115
2010-03-25,18115,18180,17845,18140
2010-03-26,18120,18390,18040,18350
2010-03-29,18475,18700,18445,18670
2010-03-30,18760,18760,18480,18650
2010-03-31,18760,18760,18500,18535
2010-04-01,18560,19120,18535,18990
2010-04-02,19050,19240,18865,19055
2010-04-06,19100,19350,19065,19250
2010-04-07,19305,19400,19055,19260
2010-04-08,19060,19105,18765,18780
2010-04-09,18880,19005,18860,18960
2010-04-12,19110,19295,19010,19090
2010-04-13,18960,19050,18815,18910
2010-04-14,19060,19140,18970,19015
2010-04-15,19160,19175,19010,19025
2010-04-16,19150,19245,19015,19175
2010-04-19,18760,18760,18235,18245
2010-04-20,18460,18540,18360,18525
2010-04-21,18560,18620,18415,18590
2010-04-22,18495,18585,18380,18490
2010-04-23,18440,18635,18425,18550
2010-04-26,18760,18835,18720,18745
2010-04-27,18675,18685,18360,18470
2010-04-28,17885,18080,17640,17890
2010-04-29,17995,18100,17945,17980
2010-04-30,17860,18080,17660,17925
2010-05-04,17770,17790,17550,17620
2010-05-05,16950,17140,16920,17115
2010-05-06,17130,17300,16795,16815
2010-05-07,16610,16735,16215,16215
2010-05-10,16490,16560,16160,16540
2010-05-11,16480,16615,15920,16085
2010-05-12,16015,16370,15900,16175
2010-05-13,16260,16505,16180,16485
2010-05-14,16380,16475,16185,16325
2010-05-17,15940,16000,15505,15505
2010-05-18,14905,15170,14610,15080
2010-05-19,14560,14990,14210,14720
2010-05-20,14900,15100,14770,14935
2010-05-21,14740,14930,14520,14880
2010-05-24,15035,15425,14945,15415
2010-05-25,15185,15355,14890,14895
2010-05-26,15110,15270,14960,15170
2010-05-27,15015,15280,14800,15270
2010-05-28,15420,15515,15270,15350
2010-05-31,15235,15510,15180,15285
2010-06-01,15200,15375,14845,14915
2010-06-02,14850,15025,14410,14570
2010-06-03,14725,14755,14245,14450
2010-06-04,14025,14070,13705,13705
2010-06-07,13135,13135,13135,13135
2010-06-08,12820,13070,12715,13045
2010-06-09,13105,13540,13065,13540
2010-06-10,13465,13610,13315,13405
2010-06-11,13560,13640,13485,13615
2010-06-17,13930,13930,13490,13530
2010-06-18,13535,13550,13270,13290
2010-06-21,13480,14080,13465,14080
2010-06-22,13885,14145,13810,14045
2010-06-23,13790,14480,13750,14285
2010-06-24,14405,14695,14400,14580
2010-06-25,14665,14665,14175,14245
2010-06-28,14355,14745,14320,14600
2010-06-29,14415,14450,13835,13940
2010-06-30,13625,13840,13535,13725
2010-07-01,13615,13910,13555,13615
2010-07-02,13675,14260,13655,14220
2010-07-05,14215,14440,14135,14345
2010-07-06,14120,14525,14060,14505
2010-07-07,14565,14605,14265,14310
2010-07-08,14585,14675,14430,14460
2010-07-09,14515,14565,14345,14475
2010-07-12,14490,14595,14275,14285
2010-07-13,14360,14385,13970,13980
2010-07-14,14150,14275,14070,14220
2010-07-15,14140,14400,14040,14240
2010-07-16,14315,14390,14150,14345
2010-07-19,14105,14310,14065,14275
2010-07-20,14280,14610,14280,14565
2010-07-21,14560,14675,14525,14565
2010-07-22,14645,14800,14580,14715
2010-07-23,14865,15030,14840,15000
2010-07-26,14955,15185,14950,15175
2010-07-27,15170,15195,14940,14960
2010-07-28,14920,15345,14910,15300
2010-07-29,15280,15415,15170,15330
2010-07-30,15330,15400,15190,15275
2010-08-02,15470,15820,15455,15725
2010-08-03,16030,16030,15790,15795
2010-08-04,15825,15995,15735,15990
2010-08-05,16095,16455,15945,16055
2010-08-06,16035,16360,15915,16355
2010-08-09,16460,16715,16395,16710
2010-08-10,16620,16665,16350,16370
2010-08-11,16305,16585,16125,16150
2010-08-12,16070,16110,15505,15625
2010-08-13,15790,16095,15705,16070
2010-08-16,15925,16195,15720,16120
2010-08-17,16165,16295,16045,16280
2010-08-18,16395,16665,16355,16375
2010-08-19,16495,16610,16275,16535
2010-08-20,16355,16395,15865,15875
2010-08-23,15915,16015,15710,15825
2010-08-24,15665,15850,15460,15545
2010-08-25,15405,15690,15260,15465
2010-08-26,15615,15875,15615,15850
2010-08-27,15865,16010,15745,15990
2010-08-30,16175,16555,16165,16465
2010-08-31,16230,16245,15970,16010
2010-09-01,16115,16555,16095,16360
2010-09-02,16665,16790,16570,16630
2010-09-03,16705,16750,16470,16560
2010-09-06,16685,17110,16620,17055
2010-09-07,17015,17075,16765,16915
2010-09-08,16920,17045,16750,17025
2010-09-09,17145,17175,16005,16495
2010-09-10,16510,16565,16340,16520
2010-09-13,16725,16835,16615,16800
2010-09-14,16795,16865,16440,16465
2010-09-15,16650,16650,16320,16375
2010-09-16,16410,16555,16340,16490
2010-09-17,16575,16830,16465,16825
2010-09-20,16780,17060,16710,16975
2010-09-21,16945,16945,16510,16660
2010-09-27,17105,17135,16755,16800
2010-09-28,16650,16785,16485,16705
2010-09-29,16885,16885,16585,16830
2010-09-30,16715,16780,15735,16750
2010-10-08,16605,17030,16430,16810
2010-10-11,17225,17765,17205,17765
2010-10-12,17555,17820,17470,17610
2010-10-13,17955,18110,17805,18060
2010-10-14,18260,18360,18070,18215
