,open,high,low,close,volume,amt
2006/10/10,8.69,8.69,8.69,8.69,0,0
2006/10/11,8.69,8.69,8.69,8.69,0,0
2006/10/12,8.69,8.69,8.69,8.69,0,0
2006/10/13,8.68,9.45,8.65,9.03,54044520,489180030.2
2006/10/16,9.04,9.2,8.83,8.84,24645951,221181023.7
2006/10/17,8.81,9.06,8.71,8.99,20149021,179342843.1
2006/10/18,8.97,9.18,8.89,9.09,17477925,158167203
2006/10/19,9.1,9.1,8.92,8.95,13070593,117801810.3
2006/10/20,8.91,9.15,8.9,9.07,18440445,167203645.2
2006/10/23,9.08,9.32,8.91,9.03,24565830,224924014.2
2006/10/24,9.01,9.5,9,9.41,34873578,323768463
2006/10/25,9.41,9.66,9.38,9.5,30020980,286050328
2006/10/26,9.56,9.88,9.42,9.82,41079195,399375514.3
2006/10/27,9.79,10.25,9.7,9.77,43165159,429461950.8
2006/10/30,9.59,9.83,9.25,9.4,30872772,291953919
2006/10/31,9.4,9.66,9.35,9.55,21955017,209225689.2
2006/11/1,9.55,9.59,9.24,9.3,21191144,198877967.4
2006/11/2,9.3,9.36,9.1,9.36,18590416,171511742.2
2006/11/3,9.33,9.79,9.26,9.58,24406235,233758019.9
2006/11/6,9.42,9.98,9.38,9.86,23225195,226980323.4
2006/11/7,9.88,10.13,9.84,10.03,23897307,238848823.8
2006/11/8,10.03,10.17,9.86,10.04,26651798,267855767
2006/11/9,10,10.6,9.92,10.45,39046913,404885183.9
2006/11/10,10.5,10.77,10.17,10.32,37930198,398474608.6
2006/11/13,10.26,10.55,9.99,10.08,22719245,233866051.7
2006/11/14,10.15,10.3,9.88,10.06,28472657,286451040.5
2006/11/15,10.08,10.43,9.96,10.4,23771158,242609592.1
2006/11/16,10.41,10.69,10.34,10.41,32976498,347317343
2006/11/17,10.4,10.48,10.16,10.28,18036400,185432575
2006/11/20,10.31,10.8,10.29,10.75,32719951,346155166
2006/11/21,10.74,11.83,10.48,11.83,82009760,932197020.3
2006/11/22,11.87,13,11.74,12.88,67891371,836698386.9
2006/11/23,12.88,13.18,12.51,12.65,48399487,623603352
2006/11/24,12.62,12.97,12.27,12.68,41744785,524634391.8
2006/11/27,12.56,12.88,12.22,12.58,34337581,429537940.8
2006/11/28,12.52,12.66,12.28,12.32,20473058,254090238.7
2006/11/29,11.81,12.5,11.81,12.37,29523964,358277866.5
2006/11/30,12.4,12.68,12.24,12.65,32717618,407057210.9
2006/12/1,12.66,12.77,12.38,12.42,23039510,288315481.6
2006/12/4,12.4,13.38,12.21,13.15,42545318,550707860.4
2006/12/5,13.15,13.28,12.8,12.95,40779155,532345362.3
2006/12/6,13,13.5,12.5,13.09,41050172,536588438.8
2006/12/7,13.11,14.13,13.11,13.4,53340156,728859028.9
2006/12/8,13.1,13.58,12.96,13.14,34047311,450406362.1
2006/12/11,13.12,13.75,13.11,13.54,30158134,407620706.1
2006/12/12,13.71,14.24,13.55,13.94,40632628,565319597.5
2006/12/13,14.01,14.08,13.23,13.41,41228295,558764900.5
2006/12/14,13.35,13.61,13.18,13.38,35891253,476514501.8
2006/12/15,13.5,13.5,12.96,13.35,29484931,389877650.1
2006/12/18,13.35,13.74,13.19,13.58,27334359,367086166.1
2006/12/19,13.52,14.14,13.38,13.58,35093911,481865286.2
2006/12/20,13.57,13.64,13.2,13.51,18672270,250714383.1
2006/12/21,13.51,13.55,13.1,13.16,35803634,476466347.3
2006/12/22,13.14,13.36,12.91,13.01,21685306,283431820.9
2006/12/25,12.94,13.8,12.9,13.35,38765743,520909606.5
2006/12/26,13.4,13.48,13.08,13.23,20186167,267769281.7
2006/12/27,13.23,13.9,13.1,13.69,36787477,500640418.8
2006/12/28,13.75,14.5,13.69,14.02,53476036,754610473.4
2006/12/29,14.15,14.68,14.08,14.47,50242799,727135037.4
2007/1/4,14.65,15.32,13.83,14.11,69207082,1016722868
2007/1/5,13.93,13.93,13,13.06,53732890,715011004
2007/1/8,13.05,13.54,13.02,13.37,31761560,421819402.5
2007/1/9,13.39,13.88,13.3,13.8,47968021,650410192
2007/1/10,13.79,14.23,13.6,14.08,44737422,619003214.3
2007/1/11,14.18,14.78,14.09,14.78,40996055,599350537.1
2007/1/12,15.11,15.52,14.9,15.52,90902123,1399725036
2007/1/15,15.5,16.3,15.04,16.3,55236455,873682680.5
2007/1/16,16.5,17.12,16.5,17.02,52523640,893096125.8
2007/1/17,17,17.59,16.4,17.02,45910806,779058424.9
2007/1/18,16.95,17.12,16.17,16.18,48969519,801280766.5
2007/1/19,16.2,16.99,16.2,16.95,47932790,802892923.5
2007/1/22,17.11,17.8,17.11,17.76,54038875,958069065
2007/1/23,17.5,18.3,17.31,18.1,50369492,895826281.8
2007/1/24,18,18.5,17.54,17.71,44248617,794955322.5
2007/1/25,17.8,18.07,17.37,17.4,48436276,861761522.2
2007/1/26,18.2,18.27,17.6,18.27,62425541,1127756301
2007/1/29,18.9,19.18,18.9,19.18,27014435,517616075.7
2007/1/30,20.13,20.14,19.9,20.14,29635567,595829415.9
2007/1/31,20.98,20.98,19.13,19.13,73196002,1459524478
2007/2/1,18.56,18.96,18.17,18.46,66285498,1222286994
2007/2/2,18.18,18.66,17.54,17.54,39611049,709006990.6
2007/2/5,17.3,17.63,16.66,16.69,39927406,679882766.1
2007/2/6,16.69,17.52,16.66,17.52,28237726,484248899.5
2007/2/7,18.4,18.4,18.4,18.4,5916647,108866304.8
2007/2/8,18.4,19.32,18.1,19.1,64727854,1225465319
2007/2/9,19.17,19.2,18.28,18.39,30926290,576342130.3
2007/2/12,18.36,19.31,18.36,19.31,25159809,482695232.9
2007/2/13,20,20.2,19.4,19.66,24394451,482550368.2
2007/2/14,19.88,20.59,19.6,20.55,27999331,568001003
2007/2/15,20.65,21.17,20.2,20.51,31972344,663331467.4
2007/2/16,20.7,21.4,20.57,20.8,27975051,587215172.5
2007/2/26,20.4,20.5,19.82,20.21,21393632,430798235.5
2007/2/27,20.2,20.79,19.2,19.2,22746641,449230072.1
2007/2/28,18.24,19.18,18.24,19.05,43811486,808293424.2
2007/3/1,19,19,18.1,18.1,22927483,418404551.3
2007/3/2,17.91,18.37,17.55,18.19,20750706,374155488.2
2007/3/5,18.05,18.27,17.28,17.51,31385015,553921868.6
2007/3/6,17.52,18.39,17.51,18.39,28507821,518521177.7
2007/3/7,18.4,18.9,18.3,18.61,28029635,520049140.2
2007/3/8,18.69,19.45,18.61,18.9,18552006,352256708.2
2007/3/9,18.9,19.2,18.58,18.96,21954379,414411884.3
2007/3/12,18.95,19,18.05,18.4,15982161,295400559.9
2007/3/13,18.4,18.77,18.36,18.53,13520785,251016029.7
2007/3/14,18.3,18.3,17.8,17.99,18252022,328372462.4
2007/3/15,17.95,18.4,17.95,18.37,14248334,259448785
2007/3/16,18.38,18.51,17.94,18.05,18641612,339576410.9
2007/3/19,17.77,18.95,17.6,18.95,27595802,516975865.1
2007/3/20,19.4,19.4,18.9,18.94,25024333,478599982.4
2007/3/21,19.14,19.89,19.08,19.89,35862050,706176902.8
2007/3/22,20.29,20.88,19.5,19.95,54898793,1121148793
2007/3/23,19.65,19.75,18.95,19.38,35862049,694815306
2007/3/26,19,19.33,18.51,19.16,28182462,535392774.4
2007/3/27,19,19.1,18.75,18.99,23566174,445686073.8
2007/3/28,18.92,19.38,18.04,19.08,41538426,785154853.2
2007/3/29,19.07,20.02,18.91,19.16,58951589,1149695721
2007/3/30,18.88,19,18.57,18.88,21638160,406970917
2007/4/2,18.98,19.6,18.95,19.28,31360278,609052910.7
2007/4/3,19.31,19.68,19.17,19.35,25328363,491256968.5
2007/4/4,19.4,20.2,19.4,19.89,40243715,798945732.9
2007/4/5,19.89,20.07,19.56,19.96,29075555,575979918.8
2007/4/6,19.66,19.9,19.35,19.57,26554073,520492063.6
2007/4/9,19.57,19.98,19.4,19.72,22376321,440993000.1
2007/4/10,19.72,20.3,19.63,20.29,34751591,698547421.2
2007/4/11,20.33,21.3,20.33,21.29,59411003,1259700119
2007/4/12,21.4,22.35,21.3,22.35,46382562,1025244447
2007/4/13,22.7,23.47,22.7,23.47,36148752,846929490.7
2007/4/16,23.98,24.47,22.9,23.73,36826020,869212459.3
2007/4/17,23.55,23.73,22.54,22.95,35539117,817622630.5
2007/4/18,22.88,23.4,22.53,22.99,20469190,471600990.5
2007/4/19,22.7,23.06,21.84,21.84,35264191,780768607.6
2007/4/20,21.38,22.86,21.38,22.6,22926799,513912245.2
2007/4/23,22.67,23.73,22.3,23.73,38138414,886722787.6
2007/4/24,24.16,24.3,23.46,23.53,34033433,812324938.8
2007/4/25,23.45,24.71,23.04,24.71,45918037,1116248133
2007/4/26,25.79,25.95,25.21,25.95,47077758,1215873563
2007/4/27,25.95,25.95,25.95,25.95,0,0
2007/4/30,25.95,25.95,25.95,25.95,0,0
